id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
1924	Pedro Ximénez is often used to produce…	Sherry	Porto	Retsina	Moscatel de Setúbal	Sherry	"wine, fortified"	2	Multiple	11
1925	Pedro Ximénez is often used to produce…	Sweet fortified wines	Dry sparkling wines	Low alcohol sparkling wines	High tannins rosé wines	Sweet fortified wines	"wine, fortified"	2	Multiple	11
1926	What is the crucial element to produce Fino Sherry?	Flor	Botrytis	Oidium	Sulphur	Flor	"wine, fortified"	2	Multiple	11
1927	What is Manzanilla?	Sherry Fino	A 20 year old Madeira 	An oxidised Porto	Type of Marsala	Sherry Fino	"wine, fortified"	2	Multiple	11
1928	What does LBV stand for?	Late Bottled Vintage	Late Blended Vine	Late Bottled and Vinified	Last Bottle Vinified	Late Bottled Vintage	"wine, fortified"	2	Multiple	11
1929	How many grape varieties are authorised for Porto production?	Over 80	Over 30	22	5	Over 80	"wine, fortified"	2	Multiple	11
1930	Which of these is the correct order of style for the increasing price of Port?	"Ruby, LBV, Vintage"	"LBV, Vintage, Ruby"	"LBV, Vintage, Ruby"	"Vintage, Ruby, LBV"	"Ruby, LBV, Vintage"	"wine, fortified"	2	Multiple	11
1931	Oporto is an important city for production of…	Porto	Sherry	Champagne	Retsina	Porto	"wine, fortified"	2	Multiple	11
1932	Which term is the odd one?	Retsina	Commandaria	Sherry	Madeira	Retsina	"wine, fortified"	2	Multiple	11
1933	Which of the below is the name of a lightly sparkling sweet wine from Italy?	Moscato d’Asti	Garibaldi	Franciacorta	Spumante	Moscato d’Asti	"wine, sparkling"	2	Multiple	11
1934	Which grape variety is most commonly used to make a sparkling red wine in Australia?	Shiraz	Prosecco	Barbera	Merlot	Shiraz	"wine, sparkling"	2	Multiple	11
1935	Sekt is an example of…	Sparkling wine	Fortified wine	Red wine	Argentinian wine	Sparkling wine	"wine, sparkling"	2	Multiple	11
1936	Which grape is the odd one?	Glera	Pinot Noir	Chardonnay	Pinot Meunier	Glera	"wine, sparkling"	2	Multiple	11
1937	Which one of the following is a traditional grape for Cava?	Parelleda	Airen	Trebbiano	Tempranillo	Parelleda	"wine, sparkling"	2	Multiple	11
1938	What method is used in the production of inexpensive Cava?	Traditional	Tank	Transfer	Brut	Traditional	"wine, sparkling"	2	Multiple	11
1939	Which one of the following would indicate a sweet style of Champagne?	Doux	Extra Brut	Brut	Brut Nature	Doux	"wine, sparkling"	2	Multiple	11
1940	Where is Champagne produced?	France	Italy	Germany	USA	France	"wine, sparkling"	2	Multiple	11
1941	Where is Prosecco produced?	Italy	Spain	Switzerland	France	Italy	"wine, sparkling"	2	Multiple	11
1942	Where is Cava produced?	Spain	Portugal	Greece	Croatia	Spain	"wine, sparkling"	2	Multiple	11
1943	Where is Champagne produced?	Champagne region	Anywhere in France	Anywhere as long as the traditional method is used	Anywhere in the EU	Champagne region	"wine, sparkling"	2	Multiple	11
1944	Where is Prosecco produced?	Veneto	Tuscany	Piedmont	Umbria	Veneto	"wine, sparkling"	2	Multiple	11
1945	Which of the following grape varietals is Prosecco predominantly made from?	Glera	Chardonnay	Pinot Grigio	Pinot Blanc	Glera	"wine, sparkling"	2	Multiple	11
1946	What method of sparkling wine production is predominantly used to make Prosecco? 	Tank	Transfer	Traditional	Gas Injection	Tank	"wine, sparkling"	2	Multiple	11
1947	What does ‘NV’ stand for on the wine label of a bottle of Champagne? 	Non Vintage	Not Valuable	No VAT	Non Vinified	Non Vintage	"wine, sparkling"	2	Multiple	11
1948	What is the difference between brut Champagne and sec Champagne?	Production method used	Alcohol levels	Sweetness level	Acidity level	Production method used	"wine, sparkling"	2	Multiple	11
1949	Which one of the following regions is permitted to produce Champagne?	Champagne	Vouvray	Alsace	All of them	Champagne	"wine, sparkling"	2	Multiple	11
1950	Which one of the following grape varieties can’t be used to produce Champagne?	Chenin Blanc	Chardonnay	Pinot Noir	Pinot Meunier	Chenin Blanc	"wine, sparkling"	2	Multiple	11
1951	Which one of the following grape varieties can be used to produce Champagne?	Pinot Meunier	Riesling	Marsanne	Merlot Blanc	Pinot Meunier	"wine, sparkling"	2	Multiple	11
1952	Which one of the following wine producing countries and typical sparkling wine pairs is true? 	Italy and Prosecco	Austria and Cava	France and Sekt	Portugal and Lambrusco	Italy and Prosecco	"wine, sparkling"	2	Multiple	11
1953	Which of the following grape varieties is used in the production of sparkling Vouvray?	Chenin Blanc	Pinot Meunier	Chardonnay	Cabernet Franc	Chenin Blanc	"wine, sparkling"	3	Multiple	11
1954	Sabrage is a unique method of opening a Champagne bottle using a…	Sword	Hammer	Knife	Shovel	Sword	"somm, sparkling, wine"	2	Multiple	11
1955	Where is Bekaa Valley located?	Lebanon	South Africa	Morocco	Israel	Lebanon	"wine, Location, Asia, Lebanon"	4	Multiple	11
1956	Château Musar produces wines in…	Lebanon	France	Tunisia	Turkey	Lebanon	"wine, Location, Asia, Lebanon, somm"	4	Multiple	11
1957	Château Ksara produces wines in…	Lebanon	Morocco	France	Algeria	Lebanon	"wine, Location, Asia, Lebanon, somm"	4	Multiple	11
1958	What grapes is the base for Chateau Musar Red wine?	Cabernet Sauvignon	Syrah	Mourvèdre	Pinot Noir	Cabernet Sauvignon	"wine, Location, Asia, Lebanon, somm"	4	Multiple	11
1959	What is the elevation of the Bekaa Valley?	Around 1000 meters	Around 300 meters	Around 2000 meters	Around 1600 meters	Around 1000 meters	"wine, Location, Asia, Lebanon, somm"	4	Multiple	11
1960	What is Lebanon’s biggest producer?	Chateau Ksara	Chateau Musar	Chateau Kefraya	Château Ka	Chateau Ksara	"wine, Location, Asia, Lebanon, somm"	4	Multiple	11
1961	Where is Morocco located?	North-western  Africa	North-eastern  Africa	South-western  Africa	South-eastern  Africa	North-western  Africa	"wine, Location, Africa, North Africa, Morocco"	4	Multiple	11
1962	What county had large influence over Morocco?	France	Germany	USA	India	France	"wine, Location, Africa, North Africa, Morocco"	4	Multiple	11
1963	Where is the Meknès region located?	Morocco	Lebanon	Tunisia	Algeria	Morocco	"wine, Location, Africa, North Africa, Morocco"	4	Multiple	11
1964	Algeria used to be a colony of…	France	Greece	Denmark	Netherlands	France	"wine, Location, Africa, North Africa, Algeria"	4	Multiple	11
1965	Where most of wines from Algeria used to be exported to?	France	Norway	Germany	Portugal	France	"wine, Location, Africa, North Africa, Algeria"	4	Multiple	11
1966	The process of autovinification was developed in…	Algeria	Morocco	Israel	France	Algeria	"wine, Location, Africa, North Africa, Algeria, vini, production"	4	Multiple	11
1967	What county had large influence over Tunisia?	France	Austria	Hungary	Belgium	France	"wine, Location, Africa, North Africa, Tunisia"	4	Multiple	11
1968	What is the average annual rainfall in Tunisia?	Between 250 - 500 mm	Between 400 - 800 mm	Between 100 - 150 mm	Between 200 - 800 mm	Between 250 - 500 mm	"wine, Location, Africa, North Africa, Tunisia"	4	Multiple	11
1969	What is not one of the key red varieties planted in Tunisia?	Pinot Noir	Carignan	Cinsault	Grenache	Pinot Noir	"wine, Location, Africa, North Africa, Tunisia, grapes"	4	Multiple	11
1970	What is the most popular style of wines produced in Tunisia?	Rosé wines	Red wines	Fortified wines	Sparkling wines	Rosé wines	"wine, Location, Africa, North Africa, Tunisia, grapes"	4	Multiple	11
1971	What African country is famous for production vin gris?	Morocco	Lebanon	Egypt	South Africa	Morocco	"wine, Location, Africa, North Africa, Morocco, somm"	4	Multiple	11
1972	What is the most popular style of wines produced in Morocco?	Red wines	Rosé wines	Fortified wines	Ice wines	Red wines	"wine, Location, Africa, North Africa, Morocco"	4	Multiple	11
1973	Appellation d'Origine Garantie (AOG) status is granted in…	Morocco	France	New Caledonia	Tunisia	Morocco	"wine, Location, Africa, North Africa, Morocco"	4	Multiple	11
1974	Grand Cru Mornag is an AOC in…	Tunisia	Morocco	Lebanon	Algeria	Tunisia	"wine, Location, Africa, North Africa, Tunisia"	4	Multiple	11
1975	Sidi Salem is an AOC in…	Tunisia	Morocco	France	Israel	Tunisia	"wine, Location, Africa, North Africa, Tunisia"	4	Multiple	11
1976	Berkane AOG is located in…	Morocco	Tunisia	Algeria	Lebanon	Morocco	"wine, Location, Africa, North Africa, Morocco"	4	Multiple	11
1977	Obaideh is a grape variety indigenous to…	Lebanon	Tunisia	Morocco	Algeria	Lebanon	"wine, Location, Asia, Lebanon, grapes"	4	Multiple	11
1978	Arak is…	An anise-flavored liqueur from Lebanon	A grape variety from Tunisia	A wine producer in Algeria	Region in Morocco	An anise-flavored liqueur from Lebanon	"spirit, somm"	4	Multiple	11
1979	Merwah is a grape variety indigenous to…	Lebanon	Tunisia	Morocco	Algeria	Lebanon	"wine, Location, Asia, Lebanon, grapes"	4	Multiple	11
1980	What is a Lebanese indigenous grape variety?	Obaideh	Airen	Palomino	Pedro Ximénez	Obaideh	"wine, Location, Asia, Lebanon, grapes"	4	Multiple	11
1981	What is the name of the famous Muscat-based dessert wine from South Africa?	Constantia	Tokaji	Vin Santo	Sauternes	Constantia	"wine, somm, Location, Africa, South Africa, Coastal Region"	3	Multiple	11
1982	When was KWV established in South Africa?	1918	1938	1946	1966	1918	"wine, Location, Africa, South Africa"	4	Multiple	11
1983	KWV (Co-operative Wine Growers’ Association) played an important role in…	South Africa	Argentina	Morocco	Lebanon	South Africa	"wine, Location, Africa, South Africa"	4	Multiple	11
1984	What has an important influence on the western coast of South Africa?	The cold Benguela current	The cold Poniente wind	The cold Humboldt current	The Atlas mountain range	The cold Benguela current	"wine, Location, Africa, South Africa, vitis, production"	4	Multiple	11
1985	The Benguela current has an impact on…	South Africa	Chile	Australia	Israel	South Africa	"wine, Location, Africa, South Africa, vitis, production"	4	Multiple	11
1986	What is the most popular grape variety in South Africa?	Chenin Blanc	Pinotage	Cabernet Sauvignon	Muscat	Chenin Blanc	"wine, Location, Africa, South Africa, grapes"	2	Multiple	11
1987	What is the flagship variety of South Africa?	Pinotage	Shiraz	Zinfandel	Nebbiolo	Pinotage	"wine, Location, Africa, South Africa, grapes"	2	Multiple	11
1988	What had a huge impact on the development of South African viticulture?	Virus-infected planting material	Irrigation techniques	Mechanical harvesting	Spring frost	Virus-infected planting material	"wine, Location, Africa, South Africa"	4	Multiple	11
1989	What is the name of the famous South African wind?	Cape Doctor	Mistral	Diablo	Zonda	Cape Doctor	"wine, Location, Africa, South Africa, vitis, production"	4	Multiple	11
1990	When was Wine of Origin (WO) introduced?	1973	1982	1977	1990	1973	"wine, Location, Africa, South Africa"	4	Multiple	11
1991	Wine of Origin (WO) scheme is in place in…	South Africa	Chile	Canada	Australia	South Africa	"wine, Location, Africa, South Africa"	2	Multiple	11
1992	What is the most precise element of the WO scheme?	Ward	Region	Geographical Unit	District	Ward	"wine, Location, Africa, South Africa"	3	Multiple	11
1993	What is the main type of climate in South Africa?	Mediterranean	Maritime	Continental	Tropical	Mediterranean	"wine, Location, Africa, South Africa"	2	Multiple	11
1994	Kanonkop produces wines in…	South Africa	Argentina	Switzerland	Canada	South Africa	"wine, Location, Africa, South Africa, somm"	4	Multiple	11
1995	A.A. Badenhorst produces wines in…	South Africa	Chile	Brazil	New Zealand	South Africa	"wine, Location, Africa, South Africa, somm"	4	Multiple	11
1996	Ken Forrester produces old vine Chenin Blanc in…	South Africa	USA	Australia	England	South Africa	"wine, Location, Africa, South Africa, somm"	4	Multiple	11
1997	"Constantia Paarl, Stellenbosch, Swartland are part of…"	Coastal Region	Breede River Valley	Klein Karoo	Olifants River Valley	Coastal Region	"wine, Location, Africa, South Africa, Coastal Region"	3	Multiple	11
1998	What is the most famous district of Coastal Region?	Stellenbosch	Simonsberg	Wellington	Cape Point	Stellenbosch	"wine, Location, Africa, South Africa, Coastal Region"	3	Multiple	11
1999	Stellenbosch is located in…	South Africa	Australia	France	Portugal	South Africa	"wine, Location, Africa, South Africa"	2	Multiple	11
2000	Chenin Blanc is famously planted in…	South Africa	Austria	New Zealand	Chile	South Africa	"wine, Location, Africa, South Africa"	2	Multiple	11
2001	One of the famous South African districts in called…	Stellenbosch	Barossa Valley	Casablanca	Wachau	Stellenbosch	"wine, Location, Africa, South Africa, Coastal Region"	2	Multiple	11
2002	What are the dominant soil types in Stellenbosch?	Granite and sandstone	Volcanic and sandstone	Limestone and gravel	Silt and granite	Granite and sandstone	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2003	Devon Valley is a ward in…	Stellenbosch	Paarl	Constantia	Swartland	Stellenbosch	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2004	Banghoek is a ward in…	Stellenbosch	Paarl	Darling	Tygerberg	Stellenbosch	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2005	Stellenbosch is located…	South from Paarl	North from Swartland	East from Robertsen	North from Constantia	South from Paarl	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2006	What is the most planted grape variety in Swartland?	Chenin Blanc	Chardonnay	Cabernet Sauvignon	Pinotage	Chenin Blanc	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2007	Riebeekberg is a ward in…	Swartland	Stellenbosch	Paarl	Darling	Swartland	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2008	What is the dominant sold type in Swartland?	Malmesbury shale	Black sand	Piketberg quartz	Swartland silt	Malmesbury shale	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2009	What is the dominant grape variety in Franschhoek Valley?	Syrah	Cabernet Sauvignon	Chenin Blanc	Mourvèdre	Syrah	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2010	What are the two important grapes in South Africa?	Chenin Blanc & Pinotage	Gamay & Cabernet Sauvignon	Zinfandel & Chardonany	Carménère & Fiano	Chenin Blanc & Pinotage	"wine, Location, Africa, South Africa"	2	Multiple	11
2011	"What grape is popular in Walker Bay, South Africa?"	Pinot Noir	Pinotage	Grenache	Muscat	Pinot Noir	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2012	What white grape famously has old vines in South Africa?	Chenin Blanc	Cabernet Sauvignon	Carmenere	Shiraz	Chenin Blanc	"wine, Location, Africa, South Africa"	2	Multiple	11
2013	What grape is also called Steen?	Chenin Blanc	Carménère	Mourvèdre	Pinot Blanc	Chenin Blanc	"wine, Location, Africa, South Africa, grapes"	3	Multiple	11
2014	What is the dominant grape grown in Constantia ward?	Sauvignon Blanc	Chardonnay	Pinotage	Pinot Noir	Sauvignon Blanc	"wine, Location, Africa, South Africa, Coastal Region"	4	Multiple	11
2015	Worcester District is part of…	Breede River Valley	Swartland	Coastal Region	Orange River	Breede River Valley	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2016	Robertson District is part of…	Breede River Valley	Walker Bay	Coastal Region	Orange River	Breede River Valley	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2017	What district holds a significant of Colombard plantings?	Worcester	Swartland	Paarl	Walker Bay	Worcester	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2018	Elgin Ward has large plantings of…	Sauvignon Blanc	Gamay	Colombard	Chenin Blanc	Sauvignon Blanc	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2019	Overberg has large plantings of…	Chardonnay	Chenin Blanc	Pinotage	Cabernet Sauvignon	Chardonnay	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2020	What is the average annual rainfall in the Robertson district?	Around 400 mm	Around 800 mm	Around 100 mm	Around 900 mm	Around 400 mm	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2021	Where in South Africa some of the best fortified wines are produced?	In Klein Karoo	In Paarl	In Walker Bay	In Worcester	In Klein Karoo	"wine, Location, Africa, South Africa, Other regions of South Africa, fortified"	4	Multiple	11
2022	Citrusdal Valley is part of…	Olifants River	Klein Karoo	Breede River Valley	Coastal Region	Olifants River	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
2023	Calitzdorp is part of…	Klein Karoo	Olifants River	Breede River Valley	Coastal Region	Klein Karoo	"wine, Location, Africa, South Africa, Other regions of South Africa"	4	Multiple	11
